"1,1,1,3-tetrachloropropane","1,1,1,3-tetrachloropropane"
"1,1,1,5-tetrachloropentane","1,1,1,5-tetrachloropentane"
"1,1,1,7-tetrachloroheptane","1,1,1,7-tetrachloroheptane"
"1,1,1,9-tetrachlorononane","1,1,1,9-tetrachlorononane"
"1,1-difluoroethane","1,1-difluoroethane"
"2,2-dimethylbutane","2,2-dimethylbutane"
"2,2-dimethylheptane","2,2-dimethylheptane"
"2,2-dimethylhexane","2,2-dimethylhexane"
"2,2-dimethylpentane","2,2-dimethylpentane"
"2,3-dimethylbutane","2,3-dimethylbutane"
butan-2-one,butan-2-one
2-methylbutane,2-methylbutane
2-methylheptane,2-methylheptane
2-methylhexane,2-methylhexane
2-methyloctane,2-methyloctane
2-methylpentane,2-methylpentane
2-methylpropane,2-methylpropane
3-methylpentane,3-methylpentane
acetic acid,acetic acid
propan-2-one,propan-2-one
acetylene,acetylene
anthracene,anthracene
benzene,benzene
butan-1-ol,butan-1-ol
butan-2-ol,butan-2-ol
tetrachloromethane,tetrachloromethane
trichloromethane,trichloromethane
"(4as,8as)-decahydronaphthalene","(4as,8as)-decahydronaphthalene"
cycloheptane,cycloheptane
cyclohexane,cyclohexane
cyclooctane,cyclooctane
cyclopentane,cyclopentane
dichlorodifluoromethane,dichlorodifluoromethane
dichloromethane,dichloromethane
"1,1-dichloro-1,2,2,2-tetrafluoroethane","1,1-dichloro-1,2,2,2-tetrafluoroethane"
ethoxyethane,ethoxyethane
diethylamine,diethylamine
methoxymethane,methoxymethane
ethane,ethane
ethanol,ethanol
ethylbenzene,ethylbenzene
ethene,ethene
hexafluorobenzene,hexafluorobenzene
"1,3,5-trimethylbenzene","1,3,5-trimethylbenzene"
methane,methane
methanol,methanol
methoxyethane,methoxyethane
methylcyclohexane,methylcyclohexane
methylcyclopentane,methylcyclopentane
chloroethene,chloroethene
chloro(fluoro)methane,chloro(fluoro)methane
"1-chloro-1,1,2,2,2-pentafluoroethane","1-chloro-1,1,2,2,2-pentafluoroethane"
"2-chloro-1,1,1,2-tetrafluoroethane","2-chloro-1,1,1,2-tetrafluoroethane"
chlorotrifluoromethane,chlorotrifluoromethane
naphthalene,naphthalene
but-1-ene,but-1-ene
butane,butane
decane,decane
dodecane,dodecane
"2,2-dimethylpropane","2,2-dimethylpropane"
heptane,heptane
hexadecane,hexadecane
hexane,hexane
nonane,nonane
octane,octane
pentane,pentane
hexadecafluoroheptane,hexadecafluoroheptane
tetradecafluorohexane,tetradecafluorohexane
tetradecane,tetradecane
tridecane,tridecane
undecane,undecane
"1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene","1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene"
"1,2-xylene","1,2-xylene"
pentan-2-ol,pentan-2-ol
hexafluoropropan-2-one,hexafluoropropan-2-one
trifluoroacetonitrile,trifluoroacetonitrile
octafluorocyclobutane,octafluorocyclobutane
dodecafluorocyclohexane,dodecafluorocyclohexane
tetrafluoromethane,tetrafluoromethane
(trifluoromethyl)cyclohexane,(trifluoromethyl)cyclohexane
octafluoropropane,octafluoropropane
phenanthrene,phenanthrene
propan-1-ol,propan-1-ol
propan-2-ol,propan-2-ol
propane,propane
prop-1-ene,prop-1-ene
"1,4-xylene","1,4-xylene"
pyridine,pyridine
"1,1,1,9-tetrachlorononane","1,1,1,9-tetrachlorononane"
toluene,toluene
"1,3,5-trimethylcyclohexane","1,3,5-trimethylcyclohexane"
"(1r,4r)-1,4-dimethylcyclohexane","(1r,4r)-1,4-dimethylcyclohexane"
trifluoromethane,trifluoromethane
water,water
"2,2-dimethylbutane","2,2-dimethylheptane"
"2,2-dimethylbutane","2,2-dimethylhexane"
"2,2-dimethylbutane","2,2-dimethylpentane"
"2,2-dimethylhexane","2,2-dimethylheptane"
"2,2-dimethylpentane","2,2-dimethylheptane"
"2,2-dimethylpentane","2,2-dimethylhexane"
butan-2-one,diethylamine
butan-2-one,hexane
2-methylheptane,2-methyloctane
2-methylhexane,2-methylheptane
2-methylhexane,2-methyloctane
2-methylpentane,2-methylheptane
2-methylpentane,2-methylhexane
2-methylpentane,2-methyloctane
2-methylpentane,water
propan-2-one,benzene
propan-2-one,tetrachloromethane
propan-2-one,trichloromethane
propan-2-one,cyclohexane
propan-2-one,ethoxyethane
propan-2-one,water
benzene,anthracene
benzene,butan-1-ol
benzene,butan-2-ol
benzene,tetrachloromethane
benzene,trichloromethane
benzene,cyclohexane
benzene,cyclopentane
