Compounds	Sol
sol_10801	-1.11000001430511
sol_10802	-0.910000026226044
sol_10803	-1.75999999046326
sol_10804	-2.35999989509583
sol_10805	-0.860000014305115
sol_10806	-1.1599999666214
sol_10807	-1.75999999046326
sol_10808	-2.32999992370605
sol_10809	-1.99000000953674
sol_10810	-1.87000000476837
sol_10811	-0.939999997615814
sol_10812	-1.91999995708466
sol_10813	-1.38999998569489
sol_10814	-3.07999992370605
sol_10815	-2.96000003814697
sol_10816	-1.60000002384186
sol_10817	-2.16000008583069
sol_10818	-2.28999996185303
sol_10819	-3.25999999046326
sol_10820	-1.66999995708466
sol_10821	-2.04999995231628
sol_10822	-2.79999995231628
sol_10823	-1.27999997138977
sol_10824	-1.61000001430511
sol_10825	-1.42999994754791
sol_10826	-1.53999996185303
sol_10827	-1.30999994277954
sol_10828	-1.4099999666214
sol_10829	-0.270000010728836
sol_10830	-1.62000000476837
sol_10831	-1.8400000333786
sol_10832	-0.479999989271164
sol_10833	-3.39000010490417
sol_10834	-1.55999994277954
sol_10835	-0.879999995231628
sol_10836	-1.62999999523163
sol_10837	-0.449999988079071
sol_10838	-2.15000009536743
sol_10839	-4.48000001907349
sol_10840	-4.46999979019165
sol_10841	-4.73999977111816
sol_10842	-4.32999992370605
sol_10843	-2.61999988555908
sol_10844	-0.540000021457672
sol_10845	-2.8199999332428
sol_10846	-2.0699999332428
sol_10847	-2.45000004768372
sol_10848	-2.05999994277954
sol_10849	-2.23000001907349
sol_10850	-2.85999989509583
sol_10851	-1.4099999666214
sol_10852	-0.930000007152557
sol_10853	-2.63000011444092
sol_10854	-1.91999995708466
sol_10855	-1.79999995231628
sol_10856	-1.60000002384186
sol_10857	-0.28999999165535
sol_10858	-0.0199999995529652
sol_10859	-1.88999998569489
sol_10860	-1.62000000476837
sol_10861	-3.29999995231628
sol_10862	-5.6399998664856
sol_10863	-5.46000003814697
sol_10864	-3.11999988555908
sol_10865	-5.40000009536743
sol_10866	-1.20000004768372
sol_10867	-3.76999998092651
sol_10868	-3.67000007629395
sol_10869	-3.70000004768372
sol_10870	-1.88999998569489
sol_10871	-1.91999995708466
sol_10872	-2.54999995231628
sol_10873	-2.07999992370605
sol_10874	-3.28999996185303
sol_10875	-2.6800000667572
sol_10876	-1.23000001907349
sol_10877	-3.13000011444092
sol_10878	-3.02999997138977
sol_10879	-4.19000005722046
sol_10880	-0.170000001788139
sol_10881	-2.34999990463257
sol_10882	-0.730000019073486
sol_10883	-1.99000000953674
sol_10884	-2.05999994277954
sol_10885	-2.1800000667572
sol_10886	-1.41999995708466
sol_10887	-2.3199999332428
sol_10888	-1.63999998569489
sol_10889	-1.99000000953674
sol_10890	-2.52999997138977
sol_10891	-3.02999997138977
sol_10892	-2.0699999332428
sol_10893	-1.94000005722046
sol_10894	-2.70000004768372
sol_10895	-2.84999990463257
sol_10896	-3.24000000953674
sol_10897	-0.620000004768372
sol_10898	-2.44000005722046
sol_10899	-2.91000008583069
sol_10900	0.360000014305115
sol_10901	-2.08999991416931
sol_10902	-2.33999991416931
sol_10903	-5.73999977111816
sol_10904	-2.35999989509583
sol_10905	-0.850000023841858
sol_10906	-2.29999995231628
sol_10907	-1.95000004768372
sol_10908	-2.24000000953674
sol_10909	-3.40000009536743
sol_10910	-4.63000011444092
sol_10911	-3.6800000667572
sol_10912	-2.70000004768372
sol_10913	-4.46000003814697
sol_10914	-3.66000008583069
sol_10915	-4.03999996185303
sol_10916	-3.75
sol_10917	-3.29999995231628
sol_10918	-2.8199999332428
sol_10919	-3.90000009536743
sol_10920	-2.24000000953674
sol_10921	-1.83000004291534
sol_10922	-3.74000000953674
sol_10923	-3.16000008583069
sol_10924	-3.39000010490417
sol_10925	-3.11999988555908
sol_10926	-4.69999980926514
sol_10927	-4.17000007629395
sol_10928	-2.77999997138977
sol_10929	-3.15000009536743
sol_10930	-2.55999994277954
sol_10931	-2.08999991416931
sol_10932	-3.58999991416931
sol_10933	-4.46999979019165
sol_10934	-3.42000007629395
sol_10935	-3.03999996185303
sol_10936	-1.22000002861023
sol_10937	-4.69000005722046
sol_10938	-6.3600001335144
sol_10939	-2.77999997138977
sol_10940	-6.01999998092651
sol_10941	-4.6100001335144
sol_10942	-6.51000022888184
sol_10943	-4.3600001335144
sol_10944	-4.73000001907349
sol_10945	-2.9300000667572
sol_10946	-2.26999998092651
sol_10947	-3.79999995231628
sol_10948	-3.6800000667572
sol_10949	-2.40000009536743
sol_10950	-3.97000002861023
sol_10951	-2.51999998092651
sol_10952	-1.92999994754791
sol_10953	-5.38000011444092
sol_10954	-6.34000015258789
sol_10955	-2.64000010490417
sol_10956	-1.61000001430511
sol_10957	-4.1100001335144
sol_10958	-2.9300000667572
sol_10959	-4.19999980926514
sol_10960	-6.05000019073486
sol_10961	-4.17999982833862
sol_10962	-5.21999979019165
sol_10963	-3.94000005722046
sol_10964	-4.15999984741211
sol_10965	-3.78999996185303
sol_10966	-3.77999997138977
sol_10967	-2.59999990463257
sol_10968	-4.30999994277954
sol_10969	-3.08999991416931
sol_10970	-2.05999994277954
sol_10971	-1.88999998569489
sol_10972	-1.60000002384186
sol_10973	-1.54999995231628
sol_10974	-2.71000003814697
sol_10975	-1.88999998569489
sol_10976	-4.30999994277954
sol_10977	-3.77999997138977
sol_10978	-4.15999984741211
sol_10979	-4.23999977111816
sol_10980	-7.26000022888184
sol_10981	-4.92999982833862
sol_10982	-4.53000020980835
sol_10983	-5.30000019073486
sol_10984	-3.46000003814697
sol_10985	-3.5699999332428
sol_10986	-0.479999989271164
sol_10987	-1.9099999666214
sol_10988	-4.19000005722046
sol_10989	-5.23999977111816
sol_10990	-5.28000020980835
sol_10991	-1.87000000476837
sol_10992	-3.66000008583069
sol_10993	-4.84000015258789
sol_10994	-5.59000015258789
sol_10995	-5.67999982833862
sol_10996	-3.89000010490417
sol_10997	-3.26999998092651
sol_10998	-3.0699999332428
sol_10999	-4.73999977111816
sol_11000	-5.46999979019165
sol_11001	-4.21999979019165
sol_11002	-3.48000001907349
sol_11003	-4.11999988555908
sol_11004	-6.69999980926514
sol_11005	-4.40000009536743
sol_11006	-3.58999991416931
sol_11007	-5.19000005722046
sol_11008	-4.46000003814697
sol_11009	-3.36999988555908
sol_11010	-4.30000019073486
sol_11011	-2.8199999332428
sol_11012	-0.769999980926514
sol_11013	-5.53999996185303
sol_11014	-6.28999996185303
sol_11015	-2.51999998092651
sol_11016	-3.98000001907349
sol_11017	-3.84999990463257
sol_11018	-4.46000003814697
sol_11019	-4
sol_11020	-4.65000009536743
sol_11021	-2.88000011444092
sol_11022	-3.14000010490417
sol_11023	-2.86999988555908
sol_11024	-5.36999988555908
sol_11025	-4.42000007629395
sol_11026	-5.23999977111816
sol_11027	-4.94999980926514
sol_11028	-4.69999980926514
sol_11029	-4.57999992370605
sol_11030	-5.15000009536743
sol_11031	-1.41999995708466
sol_11032	-5.51000022888184
sol_11033	-3.21000003814697
