"row ID","Immobilization","APS","log.exp.c.","M","density","Me..","O..","Me.R","O.R","gamma.Me","gamma.O","nSad","En"
"n01_ZnO",6.67,20,-2.0,81.41,5.61,0.8,0.2,0.088,0.14,895,4600,752728.701526101,6.50387600668061E13
"n02_ZnO",8.0,20,-1.3,81.41,5.61,0.8,0.2,0.088,0.14,895,4600,752728.701526101,6.50387600668061E13
"n03_ZnO",10.0,20,-1.0,81.41,5.61,0.8,0.2,0.088,0.14,895,4600,752728.701526101,6.50387600668061E13
"n04_ZnO",40.0,20,-0.3,81.41,5.61,0.8,0.2,0.088,0.14,895,4600,752728.701526101,6.50387600668061E13
"n05_ZnO",78.0,20,0.0,81.41,5.61,0.8,0.2,0.088,0.14,895,4600,752728.701526101,6.50387600668061E13
"n06_ZnO",100.0,20,0.7,81.41,5.61,0.8,0.2,0.088,0.14,895,4600,752728.701526101,6.50387600668061E13
"n07_ZnO",6.67,1000,-2.0,81.41,5.61,0.8,0.2,0.088,0.14,895,4600,9.40910876907626E10,8.281427757262763E18
"n08_ZnO",6.67,1000,-1.3,81.41,5.61,0.8,0.2,0.088,0.14,895,4600,9.40910876907626E10,8.281427757262763E18
"n09_ZnO",12.0,1000,-1.0,81.41,5.61,0.8,0.2,0.088,0.14,895,4600,9.40910876907626E10,8.281427757262763E18
"n10_ZnO",47.0,1000,-0.3,81.41,5.61,0.8,0.2,0.088,0.14,895,4600,9.40910876907626E10,8.281427757262763E18
"n11_ZnO",82.0,1000,0.0,81.41,5.61,0.8,0.2,0.088,0.14,895,4600,9.40910876907626E10,8.281427757262763E18
"n12_ZnO",100.0,1000,0.7,81.41,5.61,0.8,0.2,0.088,0.14,895,4600,9.40910876907626E10,8.281427757262763E18
"n13_TiO2",0.0,20,-0.3,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,752728.701526101,1.29237938925727E14
"n14_TiO2",0.0,20,0.0,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,752728.701526101,1.29237938925727E14
"n15_TiO2",3.0,20,0.7,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,752728.701526101,1.29237938925727E14
"n16_TiO2",20.0,20,1.0,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,752728.701526101,1.29237938925727E14
"n17_TiO2",54.0,20,1.7,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,752728.701526101,1.29237938925727E14
"n18_TiO2",78.0,20,2.0,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,752728.701526101,1.29237938925727E14
"n19_TiO2",100.0,20,2.7,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,752728.701526101,1.29237938925727E14
"n20_TiO2",0.0,10000,-0.3,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,9.40910876907626E13,1.65114469570155E22
"n21_TiO2",0.0,10000,0.0,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,9.40910876907626E13,1.65114469570155E22
"n22_TiO2",0.0,10000,0.7,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,9.40910876907626E13,1.65114469570155E22
"n23_TiO2",6.0,10000,1.0,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,9.40910876907626E13,1.65114469570155E22
"n24_TiO2",10.0,10000,1.7,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,9.40910876907626E13,1.65114469570155E22
"n25_TiO2",28.0,10000,2.0,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,9.40910876907626E13,1.65114469570155E22
"n26_TiO2",70.0,10000,2.7,79.87,4.23,0.6,0.4,0.0745,0.14,3234,4600,9.40910876907626E13,1.65114469570155E22
"n27_Al2O3",0.0,80,1.0,101.96,3.95,0.4,0.6,0.0535,0.14,1032,4600,4.81746368976704E7,1.12789941715182E16
"n28_Al2O3",4.0,80,1.7,101.96,3.95,0.4,0.6,0.0535,0.14,1032,4600,4.81746368976704E7,1.12789941715182E16
"n29_Al2O3",45.0,80,2.0,101.96,3.95,0.4,0.6,0.0535,0.14,1032,4600,4.81746368976704E7,1.12789941715182E16
"n30_Al2O3",90.0,80,2.7,101.96,3.95,0.4,0.6,0.0535,0.14,1032,4600,4.81746368976704E7,1.12789941715182E16
"n31_Al2O3",100.0,80,3.0,101.96,3.95,0.4,0.6,0.0535,0.14,1032,4600,4.81746368976704E7,1.12789941715182E16
"n32_Al2O3",0.0,90000,1.0,101.96,3.95,0.4,0.6,0.0535,0.14,1032,4600,6.8592402926565912E16,1.61139707242113E25
"n33_Al2O3",0.0,90000,1.7,101.96,3.95,0.4,0.6,0.0535,0.14,1032,4600,6.8592402926565912E16,1.61139707242113E25
"n34_Al2O3",8.0,90000,2.0,101.96,3.95,0.4,0.6,0.0535,0.14,1032,4600,6.8592402926565912E16,1.61139707242113E25
"n35_Al2O3",20.0,90000,2.7,101.96,3.95,0.4,0.6,0.0535,0.14,1032,4600,6.8592402926565912E16,1.61139707242113E25
"n36_Al2O3",73.0,90000,3.0,101.96,3.95,0.4,0.6,0.0535,0.14,1032,4600,6.8592402926565912E16,1.61139707242113E25
