"","X","Mix_names","Compound1","Compound2","x1","Pc"
"1",1,"methane+ethane","methane","ethane",0.4,83.1
"2",2,"methane+ethane","methane","ethane",0.05,51.1
"3",3,"methane+ethane","methane","ethane",0.1498,55.5
"4",4,"methane+ethane","methane","ethane",0.3002,61.8
"5",5,"methane+ethane","methane","ethane",0.5002,67.6
"6",6,"methane+ethane","methane","ethane",0.7,67.3
"7",7,"methane+ethane","methane","ethane",0.8516,60.9
"8",8,"methane+ethane","methane","ethane",0.925,54
"9",9,"methane+ethane","methane","ethane",0.9746,49.1
"10",10,"methane+ethane","methane","ethane",0.19,62
"11",11,"methane+ethane","methane","ethane",0.56,68.9
"12",12,"methane+ethane","methane","ethane",0.82,62.7
"13",13,"methane+ethane","methane","ethane",0.96,51
"14",14,"methane+ethane","methane","ethane",0.952,51.57
"15",15,"methane+ethane","methane","ethane",0.9706,49.14
"16",16,"methane+ethane","methane","ethane",0.98214,48.13
"17",17,"methane+ethane","methane","ethane",0.99125,47.22
"18",18,"methane+propane","methane","propane",0.67,96.5
"19",19,"methane+propane","methane","propane",0.82,91.7
"20",20,"methane+propane","methane","propane",0.14,53
"21",21,"methane+propane","methane","propane",0.3228,70.3
"22",22,"methane+propane","methane","propane",0.4691,84
"23",23,"methane+propane","methane","propane",0.5882,93.2
"24",24,"methane+propane","methane","propane",0.6772,100.9
"25",25,"methane+propane","methane","propane",0.7459,101.6
"26",26,"methane+propane","methane","propane",0.745,99.9
"27",27,"methane+propane","methane","propane",0.8,95.1
"28",28,"methane+propane","methane","propane",0.835,94.4
"29",29,"methane+propane","methane","propane",0.921,77.2
"30",30,"methane+propane","methane","propane",0.945,73.2
"31",31,"methane+propane","methane","propane",0.96,47.5
"32",32,"methane+propane","methane","propane",0.1,52.8
"33",33,"methane+propane","methane","propane",0.2,61.4
"34",34,"methane+propane","methane","propane",0.3,70.2
"35",35,"methane+propane","methane","propane",0.4,79.8
"36",36,"methane+propane","methane","propane",0.5,89.1
"37",37,"methane+propane","methane","propane",0.6,97
"38",38,"methane+propane","methane","propane",0.7,101.2
"39",39,"methane+propane","methane","propane",0.17,56.7
"40",40,"methane+propane","methane","propane",0.28,67
"41",41,"methane+propane","methane","propane",0.42,79.8
"42",42,"methane+propane","methane","propane",0.49,86.1
"43",43,"methane+propane","methane","propane",0.57,91.2
"44",44,"methane+propane","methane","propane",0.9469,65.1
"45",45,"methane+propane","methane","propane",0.9856,49.9
"46",46,"methane+propane","methane","propane",0.9926,47.47
"47",47,"methane+butane","methane","butane",0.3609,87.1
"48",48,"methane+butane","methane","butane",0.4722,104.8
"49",49,"methane+butane","methane","butane",0.5503,117.1
"50",50,"methane+butane","methane","butane",0.6165,124.8
"51",51,"methane+butane","methane","butane",0.6718,129.3
"52",52,"methane+butane","methane","butane",0.7936,131.8
"53",53,"methane+butane","methane","butane",0.771,132.6
"54",54,"methane+butane","methane","butane",0.7953,132
"55",55,"methane+butane","methane","butane",0.863,118.9
"56",56,"methane+butane","methane","butane",0.9214,71.7
"57",59,"methane+pentane","methane","pentane",0.295,70.7
"58",60,"methane+pentane","methane","pentane",0.5211,111
"59",61,"methane+pentane","methane","pentane",0.6705,143.5
"60",62,"methane+pentane","methane","pentane",0.7665,161.2
"61",63,"methane+pentane","methane","pentane",0.8236,169.3
"62",64,"methane+hexane","methane","hexane",0.625,121.6
"63",65,"methane+hexane","methane","hexane",0.7466,196.2
"64",66,"methane+hexane","methane","hexane",0.85,203.2
"65",67,"methane+hexane","methane","hexane",0.8,208
"66",68,"methane+hexane","methane","hexane",0.9,190
"67",69,"methane+heptane","methane","heptane",0.441,83.1
"68",70,"methane+heptane","methane","heptane",0.585,131.4
"69",71,"methane+heptane","methane","heptane",0.672,170.2
"70",72,"methane+heptane","methane","heptane",0.732,201.7
"71",73,"methane+heptane","methane","heptane",0.778,227.4
"72",74,"methane+heptane","methane","heptane",0.817,244.6
"73",75,"methane+heptane","methane","heptane",0.855,248.8
"74",76,"methane+heptane","methane","heptane",0.894,229.4
"75",77,"methane+heptane","methane","heptane",0.8,232
"76",78,"methane+heptane","methane","heptane",0.815,235
"77",79,"methane+heptane","methane","heptane",0.83,237
"78",80,"methane+heptane","methane","heptane",0.85,240
"79",81,"methane+octane","methane","octane",0.787,273.4
"80",82,"methane+octane","methane","octane",0.798,266.5
"81",83,"methane+nonane","methane","nonane",0.86,317
"82",84,"methane+nonane","methane","nonane",0.872,322
"83",85,"methane+nonane","methane","nonane",0.88,322
"84",86,"methane+nonane","methane","nonane",0.885,323
"85",87,"methane+decane","methane","decane",0.739,200.6
"86",88,"methane+decane","methane","decane",0.798,248.4
"87",89,"methane+decane","methane","decane",0.833,287
"88",90,"methane+decane","methane","decane",0.857,315.7
"89",91,"methane+decane","methane","decane",0.877,340.1
"90",92,"methane+decane","methane","decane",0.891,357.6
"91",93,"methane+decane","methane","decane",0.898,365.8
"92",94,"methane+decane","methane","decane",0.857,342
"93",95,"methane+decane","methane","decane",0.87,354
"94",96,"methane+decane","methane","decane",0.875,365
"95",97,"methane+decane","methane","decane",0.885,370
"96",98,"methane+decane","methane","decane",0.905,361.3
"97",99,"ethane+propane","ethane","propane",0.093,44.7
"98",100,"ethane+propane","ethane","propane",0.3215,50.7
"99",101,"ethane+propane","ethane","propane",0.506,50.9
"100",102,"ethane+propane","ethane","propane",0.6685,51.9
"101",103,"ethane+propane","ethane","propane",0.81,51.7
"102",104,"ethane+propane","ethane","propane",0.935,50.5
"103",105,"ethane+butane","ethane","butane",0.1749,44.6
"104",106,"ethane+butane","ethane","butane",0.451,53.8
"105",107,"ethane+butane","ethane","butane",0.6577,58.1
"106",108,"ethane+butane","ethane","butane",0.8218,57
"107",109,"ethane+butane","ethane","butane",0.9472,52.4
"108",110,"ethane+butane","ethane","butane",0.382,51.7
"109",111,"ethane+butane","ethane","butane",0.625,57.7
"110",112,"ethane+butane","ethane","butane",0.81,57.8
"111",113,"ethane+butane","ethane","butane",0.813,57.1
"112",114,"ethane+butane","ethane","butane",0.602,57.7
"113",115,"ethane+butane","ethane","butane",0.874,56.1
"114",116,"ethane+butane","ethane","butane",0.075,40.7
"115",117,"ethane+butane","ethane","butane",0.481,62.3
"116",118,"ethane+butane","ethane","butane",0.652,67.8
"117",119,"ethane+butane","ethane","butane",0.764,67.8
"118",120,"ethane+butane","ethane","butane",0.562,62.7
"119",121,"ethane+butane","ethane","butane",0.766,66.5
"120",122,"ethane+butane","ethane","butane",0.888,58.4
"121",123,"ethane+butane","ethane","butane",0.865,62.7
"122",124,"ethane+hexane","ethane","hexane",0.525,67.6
