"","Mix_names","Compound1","Compound2","x1","Tc"
"m1_methane+ethane","methane+ethane","methane","ethane",0.4,273.2
"m2_methane+ethane","methane+ethane","methane","ethane",0.05,302
"m3_methane+ethane","methane+ethane","methane","ethane",0.1498,295
"m4_methane+ethane","methane+ethane","methane","ethane",0.3002,282
"m5_methane+ethane","methane+ethane","methane","ethane",0.5002,263.1
"m6_methane+ethane","methane+ethane","methane","ethane",0.7,238
"m7_methane+ethane","methane+ethane","methane","ethane",0.8516,218
"m8_methane+ethane","methane+ethane","methane","ethane",0.925,204.3
"m9_methane+ethane","methane+ethane","methane","ethane",0.9746,195.4
"m10_methane+ethane","methane+ethane","methane","ethane",0.19,283.1
"m11_methane+ethane","methane+ethane","methane","ethane",0.56,255.4
"m12_methane+ethane","methane+ethane","methane","ethane",0.82,227.6
"m13_methane+ethane","methane+ethane","methane","ethane",0.96,199.8
"m14_methane+ethane","methane+ethane","methane","ethane",0.952,199.92
"m15_methane+ethane","methane+ethane","methane","ethane",0.9706,195.44
"m16_methane+ethane","methane+ethane","methane","ethane",0.98214,193.92
"m17_methane+ethane","methane+ethane","methane","ethane",0.99125,192.39
"m18_methane+propane","methane+propane","methane","propane",0.67,283.1
"m19_methane+propane","methane+propane","methane","propane",0.82,255.4
"m20_methane+propane","methane+propane","methane","propane",0.14,360.9
"m21_methane+propane","methane+propane","methane","propane",0.3228,344.3
"m22_methane+propane","methane+propane","methane","propane",0.4691,327.6
"m23_methane+propane","methane+propane","methane","propane",0.5882,310.9
"m24_methane+propane","methane+propane","methane","propane",0.6772,294.3
"m25_methane+propane","methane+propane","methane","propane",0.7459,277.6
"m26_methane+propane","methane+propane","methane","propane",0.745,273.9
"m27_methane+propane","methane+propane","methane","propane",0.8,256.5
"m28_methane+propane","methane+propane","methane","propane",0.835,241.5
"m29_methane+propane","methane+propane","methane","propane",0.921,226.5
"m30_methane+propane","methane+propane","methane","propane",0.945,213.2
"m31_methane+propane","methane+propane","methane","propane",0.96,194.8
"m32_methane+propane","methane+propane","methane","propane",0.1,364.2
"m33_methane+propane","methane+propane","methane","propane",0.2,354.4
"m34_methane+propane","methane+propane","methane","propane",0.3,344.1
"m35_methane+propane","methane+propane","methane","propane",0.4,332.5
"m36_methane+propane","methane+propane","methane","propane",0.5,319.5
"m37_methane+propane","methane+propane","methane","propane",0.6,304.3
"m38_methane+propane","methane+propane","methane","propane",0.7,283.6
"m39_methane+propane","methane+propane","methane","propane",0.17,356.1
"m40_methane+propane","methane+propane","methane","propane",0.28,344.8
"m41_methane+propane","methane+propane","methane","propane",0.42,328
"m42_methane+propane","methane+propane","methane","propane",0.49,316.6
"m43_methane+propane","methane+propane","methane","propane",0.57,305
"m44_methane+propane","methane+propane","methane","propane",0.9469,213.71
"m45_methane+propane","methane+propane","methane","propane",0.9856,195.2
"m46_methane+propane","methane+propane","methane","propane",0.9926,192.3
"m47_methane+butane","methane+butane","methane","butane",0.3609,394.2
"m48_methane+butane","methane+butane","methane","butane",0.4722,377.6
"m49_methane+butane","methane+butane","methane","butane",0.5503,360.9
"m50_methane+butane","methane+butane","methane","butane",0.6165,344.3
"m51_methane+butane","methane+butane","methane","butane",0.6718,327.6
"m52_methane+butane","methane+butane","methane","butane",0.7936,310.9
"m53_methane+butane","methane+butane","methane","butane",0.771,294.3
"m54_methane+butane","methane+butane","methane","butane",0.7953,277.6
"m55_methane+butane","methane+butane","methane","butane",0.863,244.3
"m56_methane+butane","methane+butane","methane","butane",0.9214,210.9
"m57_methane+butane","methane+butane","methane","butane",0.4,388.7
"m58_methane+butane","methane+butane","methane","butane",0.49,372
"m59_methane+pentane","methane+pentane","methane","pentane",0.295,444.3
"m60_methane+pentane","methane+pentane","methane","pentane",0.5211,410.9
"m61_methane+pentane","methane+pentane","methane","pentane",0.6705,377.6
"m62_methane+pentane","methane+pentane","methane","pentane",0.7665,344.3
"m63_methane+pentane","methane+pentane","methane","pentane",0.8236,310.9
"m64_methane+hexane","methane+hexane","methane","hexane",0.625,423.15
"m65_methane+hexane","methane+hexane","methane","hexane",0.7466,298.15
"m66_methane+hexane","methane+hexane","methane","hexane",0.85,281.2
"m67_methane+hexane","methane+hexane","methane","hexane",0.8,332
"m68_methane+hexane","methane+hexane","methane","hexane",0.9,263
"m69_methane+heptane","methane+heptane","methane","heptane",0.441,510.9
"m70_methane+heptane","methane+heptane","methane","heptane",0.585,477.6
"m71_methane+heptane","methane+heptane","methane","heptane",0.672,444.2
"m72_methane+heptane","methane+heptane","methane","heptane",0.732,410.9
"m73_methane+heptane","methane+heptane","methane","heptane",0.778,377.6
"m74_methane+heptane","methane+heptane","methane","heptane",0.817,344.2
"m75_methane+heptane","methane+heptane","methane","heptane",0.855,310.9
"m76_methane+heptane","methane+heptane","methane","heptane",0.894,277.6
"m77_methane+heptane","methane+heptane","methane","heptane",0.8,363
"m78_methane+heptane","methane+heptane","methane","heptane",0.815,343
"m79_methane+heptane","methane+heptane","methane","heptane",0.83,323
"m80_methane+heptane","methane+heptane","methane","heptane",0.85,303
"m81_methane+octane","methane+octane","methane","octane",0.787,323.15
"m82_methane+octane","methane+octane","methane","octane",0.798,298.15
"m83_methane+nonane","methane+nonane","methane","nonane",0.86,348.15
"m84_methane+nonane","methane+nonane","methane","nonane",0.872,323.15
"m85_methane+nonane","methane+nonane","methane","nonane",0.88,298.15
"m86_methane+nonane","methane+nonane","methane","nonane",0.885,273.15
"m87_methane+decane","methane+decane","methane","decane",0.739,510.9
"m88_methane+decane","methane+decane","methane","decane",0.798,477.6
"m89_methane+decane","methane+decane","methane","decane",0.833,444.3
"m90_methane+decane","methane+decane","methane","decane",0.857,410.9
"m91_methane+decane","methane+decane","methane","decane",0.877,377.6
"m92_methane+decane","methane+decane","methane","decane",0.891,344.3
"m93_methane+decane","methane+decane","methane","decane",0.898,310.9
"m94_methane+decane","methane+decane","methane","decane",0.857,383
"m95_methane+decane","methane+decane","methane","decane",0.87,363
"m96_methane+decane","methane+decane","methane","decane",0.875,343
"m97_methane+decane","methane+decane","methane","decane",0.885,323
"m98_methane+decane","methane+decane","methane","decane",0.905,277.6
"m99_ethane+propane","ethane+propane","ethane","propane",0.093,366.5
"m100_ethane+propane","ethane+propane","ethane","propane",0.3215,355.4
"m101_ethane+propane","ethane+propane","ethane","propane",0.506,344.3
"m102_ethane+propane","ethane+propane","ethane","propane",0.6685,333.1
"m103_ethane+propane","ethane+propane","ethane","propane",0.81,322
"m104_ethane+propane","ethane+propane","ethane","propane",0.935,310
"m105_ethane+butane","ethane+butane","ethane","butane",0.1749,412.7
"m106_ethane+butane","ethane+butane","ethane","butane",0.451,387.3
"m107_ethane+butane","ethane+butane","ethane","butane",0.6577,361.6
"m108_ethane+butane","ethane+butane","ethane","butane",0.8218,337.4
"m109_ethane+butane","ethane+butane","ethane","butane",0.9472,315.6
"m110_ethane+butane","ethane+butane","ethane","butane",0.382,394.3
"m111_ethane+butane","ethane+butane","ethane","butane",0.625,366.5
"m112_ethane+butane","ethane+butane","ethane","butane",0.81,338.7
"m113_ethane+butane","ethane+butane","ethane","butane",0.813,338.7
"m114_ethane+butane","ethane+butane","ethane","butane",0.602,370.4
"m115_ethane+butane","ethane+butane","ethane","butane",0.874,327.6
"m116_ethane+butane","ethane+butane","ethane","butane",0.075,422
"m117_ethane+butane","ethane+butane","ethane","butane",0.481,422
"m118_ethane+butane","ethane+butane","ethane","butane",0.652,394.3
"m119_ethane+butane","ethane+butane","ethane","butane",0.764,366.5
