"ID","Name","Smiles","assay_type","standard_relation","standard_type","Standard value","Standard units","Function","description","pref_name","target_type","organism","Reference"
"CHEMBL171774","2-(5,6-dihydro-4H-pyrrolo[3,2,1-ij]quinolin-1-yl)-1-ethanamine","NCCc1cn2CCCc3cccc1c23","F","=","EC50",145000.000000000000000000000000000000,"M","Agonist","Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL355474","2-(8-fluoro-4-methyl-5,6-dihydro-4H-pyrrolo[3,2,1-ij]quinolin-1-yl)-1-ethanamine","CC1CCc2cc(F)cc3c(CCN)cn1c23","F","=","EC50",269000.000000000000000000000000000000,"M","Agonist","Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL172159","2-(8-chloro-2,3-dihydro[1,4]thiazino[2,3,4-hi]indol-6-yl)-1-ethanamine","NCCc1cn2CCSc3cc(Cl)cc1c23","F","=","EC50",348000.000000000000000000000000000000,"M","Agonist","Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL39","3-(2-aminoethyl)-1H-indol-5-ol","NCCc1c[nH]c2ccc(O)cc12","F","=","EC50",70000.000000000000000000000000000000,"M","Agonist","Agonist activity at human cloned 5HT2A receptor expressed in CHO cells assessed as myo-[3H]inositol hydrolysis","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL272942","2-(4-chloro-2-methylphenoxy)propanoic acid","CC(Oc1ccc(Cl)cc1C)C(=O)O","F","=","EC50",150000.000000000000000000000000000000,"M","Agonist","Agonist activity at human cloned 5HT2A receptor expressed in CHO cells assessed as myo-[3H]inositol hydrolysis","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL407909","(2S)-1-(7-ethyl-1H-furo[2,3-g]indazol-1-yl)propan-2-amine","CCc1oc2ccc3cnn(C[C@H](C)N)c3c2c1","F","=","EC50",93000.000000000000000000000000000000,"M","Agonist","Agonist activity at human cloned 5HT2A receptor expressed in CHO cells assessed as myo-[3H]inositol hydrolysis","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL76781","(S)-1-(6-chloro-5-fluoro-1H-indol-1-yl)propan-2-amine","C[C@H](N)Cn1ccc2cc(F)c(Cl)cc12","F","=","EC50",400000.000000000000000000000000000000,"M","Agonist","Agonist activity at human cloned 5HT2A receptor expressed in CHO cells assessed as myo-[3H]inositol hydrolysis","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL39","Serotonin","NCCc1c[nH]c2ccc(O)cc12","F","=","EC50",5800.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL443128","trans-[2-(2-Chlorophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2ccccc2Cl","F","=","EC50",168000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL492916","trans-[2-(2-Bromophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NCC1CC1c2ccccc2Br","F","=","EC50",94000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
